suit (dev),card (dev),Image Filename,Artists name,Image alternative text for screen readers,Card title,Card Description,Artists name,Audio Alternative Description file name,notes
diamonds,7,Seven of Diamonds image.svg,Aysen,,Train Driver,"A hand drawn train driver with curly hair, a purple and pink spotty top and green swirl legs. Aysen suggested that train drivers could wear more bright clothes to be more friendly. The theme is ‘Clothing and Shoes’.",,,
hearts,7,Seven of Hearts image.svg,Unknown,,A shop for all,A friendly grey drawing of an inclusive supermarket with items at different levels on the shelves and lots of smiling customers at the top. The image was created during a co-design workshop. The theme is 'Places and Buildings'.,,,
spades,7,Seven of Spades image.svg,Unknown,,Cool Supermarket,The layout of an inclusive supermarket with lots of space and air conditioning to make customers happy. This black felt tip drawing was created during a co-design workshop. The theme is 'Places and Buildings'.,,,
clubs,6,six of clubs image.svg,Ben & Bobby,,Thank you for Looking at the Stick,A blue figure holding a walking stick says: 'thank you for looking at the stick' whilst an announcement says: 'please be kind'. Created at a co-design workshop thinking about how transport and an underground station might be made more accessible. The themes are 'Transport' and 'Accessibility',,,
diamonds,6,Six of Diamonds image.svg,Unknown,,Art and Design is Free,A colourful card of shiney silver with pink and yellow art materials on. This card makes art and design materials free for disabled people and was created at a co-design workshop. The theme is 'Equality'.,,,
hearts,6,six of hearts image.svg,Unknown,,Freedom Pass for the World,"A bright orange hand drawn freedom pass that allows you to travel all over the world, created at a co-design workshop. The theme is 'Transport'.",,,
spades,6,Six of Spades image.svg,Unknown,,When People Are Respectful,Two playdough sculptures created during a co-design workshop. The first sculpture is a tight ball and says: 'when people are respectful and give room' the second is a messy wobbly shape and says: 'when people don't move out the way'. The themes are 'Transport' and 'Accessibility'.,,,
clubs,10,ten of Clubs image.svg,Royal College of Art Students,,Badges,A selection of 10 colourful badges designed by students from the Royal College of Art during a week-long design workshop at the Hub. The badge designs were used to start conversations during a pop-up exhibition in the Hub about identifying as disabled in public places like the bus or tube. The theme is 'Transport'.,,,
diamonds,10,Ten of Diamonds image.svg,Thomas,,Chill-out Time,"A calming purple, pink and blue chill-out space model created during a co-design workshop. There are plants, natural light and soft furniture to sit on and a large sign on the outside that says: 'chill-out time'. The theme is 'Places and Buildings'.",,,
hearts,10,Ten of Hearts image.svg,Pino,,A New Theatre,"A model of a new theatre in which disabled people can work and tell their stories, in their own words, in their own time. Created at a co-design workshop. The themes are 'Work' and 'Places and Buildings'.",,,
spades,10,Ten of Spades image.svg,Unknown,,Ideas for the Future,A map of ideas for the future created by participants during a co-design workshop. Colourful string is used to connect ideas that are similar. In the middle of the map is a large sign that says: 'Inclusive Futures'. The theme is 'Accessibility'.,,,
clubs,3,Three of Clubs image.svg,Unknown,,A New Cinema,A model of a new cinema designed with disabled people in mind. There are multiple wheelchair spaces and beanbags near the front. Created at a co-design workshop. The themes are 'Places and Buildings' and 'Accessibility'.,,,
diamonds,3,Three of Diamonds image.svg,Robyn,,Friendly train,"A drawing of a red friendly looking train that has three windows, a driving seat, a steering wheel, and pedals, with a ramp out the back. The theme is 'Transport'.",,,
hearts,3,Three of Hearts image.svg,Unknown,,A New School,A model of a new school accessible and open to all. The school is red with lots of big windows and welcoming signs. Created at a co-design workshop. The themes are 'Places and Buildings' and 'Accessibility'.,,,
spades,3,Three of Spades image.svg,Unknown,,Give More Time,"A drawing of two green and purple figures under a clock. The drawing says 'Give more time with doctor' and was created during a co-design workshop exploring healthcare for people with learning
 disabilities. The theme is 'Health and Wellbeing'.",,,
clubs,2,Two of Clubs image.svg,Unknown,,The Police,A model of a friendly and colourful police car. The model was created during a co-design workshop exploring disabled people and authority in public places. The theme is 'Authority'.,,,
diamonds,2,Two of Diamonds image.svg,Aysen,,Nurse,"A friendly nurse drawn in beautiful blue and red clothes and wearing a face mask. Aysen suggested that nurses and doctors could wear more bright, colourful and friendly uniforms to be more approachable. The theme is ‘Hospitals’.",,,
hearts,2,Two of Hearts image.svg,Rajah,,NHS Love,A hand drawn NHS logo inside two rainbows to mark the love and solidarity sent to NHS staff during the COVID-19 pandemic. The theme is 'Hospitals'.,,,
spades,2,Two of Spades image.svg,Pino,,Daily Newz,A newspaper with the headline: 'More coverage of disability'. This was created during a co-design workshop exploring representations of disabled people in the media. The theme is 'Equality'.,,,
